este	norte	cabeza
569464.5	4172114.75	1627.66
573151.25	4167192.75	1588.83
559973.94	4169585	1675.72
553514.44	4174584.5	1689.52
550349.56	4171337	1691.31
556788.56	4170184	1674.94
569977.12	4161756	1560.05
574033.5	4160057.25	1588.74
565063.62	4165814.75	1572.21
561668.94	4161542.25	1638.94
558673.94	4158475.5	1676.28
563122.5	4158338	1649.21
550563.75	4162693.25	1707.07
548635.88	4150606.25	1740.24
543629.19	4178983	1784.43
539199.81	4178796.5	1814.51
535335.12	4186059.5	1846.83
529722.25	4181229	1872.25
533366.31	4176120.5	1840.08
539111.38	4156534.75	1788.32
542357.25	4154345.25	1780.42
529922.06	4150248.25	1810.92
527225.38	4154923	1836.5
517523.34	4154836	1889.98
511349.66	4152223.75	1915.05
500361.34	4152777.25	1963.97
522870.16	4181625.25	1907.3
518465.19	4180633.5	1931.1
523101.62	4177178.25	1900.98
510989.97	4181373.5	1986.84
508225.31	4186097.75	2001.34
500532.06	4182135.25	2032.35
545704.94	4173333.75	1736.72
539041.5	4167073.25	1720.76
531464.69	4167047.5	1772.99
527729.25	4171300	1839.92
514716.69	4174960	1951.43
546531.81	4164062	1722.04
539692.69	4160391	1773.63
531827.69	4161200	1801.02
525975.81	4164804	1814.06
521309.25	4162957	1867.41
525585.81	4158543.5	1825.66
515037.03	4161479	1905.22
505550.41	4159823.75	1958.22
518137.41	4172954.25	1921.26
512270.91	4170246.25	1955.07
506195.94	4175689.25	2009.48
500899.66	4174639.5	2044.76
500582.88	4166418.5	2014.78
508312.91	4167106.25	1973.69
546823.56	4184541.5	1775.91
557844.19	4214266	1723.72
560503.25	4209265	1725.21
562577	4205861	1701.27
555817.06	4215252.5	1728.71
567269.25	4184424.75	1661.91
567941.25	4178516.5	1633.87
562908	4182941.5	1663.33
558266.44	4182501	1659.02
557703	4176230.25	1680.62
562719.25	4176668.75	1659.51
547640.31	4181040.25	1771.94
549044.19	4177390.25	1731.64
554856.94	4207776.5	1740.91
549045.88	4207523	1768.38
573505.56	4219285.5	1626.62
569102.75	4215577.5	1652.05
561002.88	4224784.5	1681.31
564270.12	4218569.5	1685.63
566233.12	4202258.5	1643.25
571905.94	4196675	1584.97
557394.81	4199536.5	1681.21
547266.06	4204691	1777.79
549298.81	4200897	1739.76
546546.56	4196431.5	1740.23
553568.62	4223508	1728.06
547893.38	4223215.5	1752.08
547749.38	4217564.5	1766.64
565276.75	4194602	1644.97
557700.69	4188260.75	1674.43
552982.31	4192668.5	1721.17
547561	4190803.5	1759.52
569647.81	4222635	1639.93
567103.88	4211941	1663.46
563748.38	4233468.5	1657.06
561944.19	4231227.5	1662.84
559660.38	4237272	1671.81
571321.81	4239563.5	1630.09
564879.88	4241550	1653.25
568951.56	4232107.5	1636.47
574429.56	4228370	1615.41
567987.06	4225844	1634.17
528117.12	4212514.5	1851.76
539657.69	4201002.5	1812.21
530808.19	4204227	1856.25
529233.06	4201414.5	1868.2
532868	4197144.5	1861.21
521746.31	4201842.5	1895.5
519703.84	4199242.5	1910.22
527051.38	4195972.5	1886.8
510587.66	4202084.5	1948.97
508008.31	4197238.5	1979.08
503355.34	4203927	1994.25
500580.75	4196425	2023.01
531962.12	4209654	1842.11
535204.31	4206802.5	1835.8
519040.47	4212337.5	1883.41
517432.84	4207917	1892.7
524135.66	4205867	1879.71
514010.28	4211357.5	1915.52
507757.28	4208771.5	1944.77
536676.44	4232912.5	1794.61
536657.62	4223182	1780.71
528795.12	4224600	1857.26
527277.62	4218162.5	1859.44
535118.69	4216713.5	1823.2
518982.81	4223841	1890.5
525838.25	4222175.5	1870.11
520440.75	4217365.5	1887.38
514401.25	4220405	1909.95
515430.09	4215575	1905.8
526940	4233220.5	1847.72
519156.5	4233498.5	1862.92
523598.56	4226602.5	1871.42
513775.34	4229486.5	1906.1
509749.78	4226273.5	1917.61
543165.69	4215095.5	1787.02
544750.38	4189572.5	1778.11
535091.81	4194124.5	1831.87
531458.75	4191310.5	1854.45
536491.38	4189702.75	1826.3
521965.31	4192384.75	1912.2
518946.09	4186550.25	1952.71
526397.06	4186300.25	1888.59
512459.81	4195626.5	1955.67
512274.09	4189766.25	1966.97
508239.38	4188145.75	1990.13
504594.47	4193795.5	2006.7
541596.94	4209653	1782.35
545052.62	4205871	1788.17
536543.25	4248312.5	1772.01
542820.38	4247075.5	1759.52
530218.56	4246243.5	1800.81
520965.28	4244435	1838.31
507467.31	4245847.5	1872.18
514920.19	4245379.5	1864.48
535818.44	4242867	1779.14
543536.88	4237429	1743.15
532196.69	4243106	1793.17
527413.5	4243792.5	1813.6
533040.12	4238233.5	1803.76
519376.03	4239387.5	1864.48
512515.19	4238018.5	1885.26
506473.75	4238026.5	1903.37
501860.69	4235566.5	1927.09
504478.06	4232203.5	1922.94
504474.06	4224935	1938.7
507277.41	4220530	1934.33
502579.91	4215298	1964.26
507208.31	4212452.5	1943.52
